age,gender,ethnicity,fcid_code
10,2,2,603030000
10,1,1,603030000
10,1,2,603030000
10,1,4,603030000
10,1,1,603030000
10,2,1,603030000
10,2,4,603030000
10,2,2,603030000
10,2,1,603030000
10,2,2,603030000
10,2,1,603030000
10,2,1,603030000
10,2,4,603030000
10,2,1,603030000
11,1,1,603030000
11,1,2,603030000
11,1,2,603030000
11,1,4,603030000
11,2,3,603030000
11,1,2,603030000
11,2,3,603030000
11,2,4,603030000
11,2,4,603030000
11,1,1,603030000
11,1,3,603030000
11,2,1,603030000
11,2,5,603030000
12,1,1,603030000
12,1,3,603030000
12,1,3,603030000
12,1,4,603030000
12,1,1,603030000
12,1,1,603030000
12,2,1,603030000
12,2,1,603030000
13,1,1,603030000
13,2,1,603030000
13,2,2,603030000
13,2,2,603030000
13,1,4,603030000
13,2,1,603030000
13,2,5,603030000
13,2,2,603030000
13,1,3,603030000
13,1,1,603030000
13,2,1,603030000
13,2,4,603030000
13,1,1,603030000
13,1,3,603030000
13,2,1,603030000
14,2,1,603030000
14,2,2,603030000
14,1,2,603030000
14,1,1,603030000
14,2,1,603030000
14,1,1,603030000
14,2,4,603030000
14,1,1,603030000
14,1,5,603030000
14,2,1,603030000
14,2,2,603030000
14,2,3,603030000
14,1,3,603030000
14,1,3,603030000
14,2,1,603030000
14,2,1,603030000
15,1,4,603030000
15,2,1,603030000
15,1,1,603030000
15,2,1,603030000
15,2,1,603030000
15,2,1,603030000
15,1,1,603030000
15,2,1,603030000
15,2,1,603030000
15,1,1,603030000
15,2,1,603030000
15,2,2,603030000
15,2,4,603030000
15,1,1,603030000
15,2,1,603030000
15,1,1,603030000
15,2,2,603030000
15,1,1,603030000
15,2,1,603030000
15,2,1,603030000
15,2,1,603030000
15,2,2,603030000
15,2,1,603030000
16,1,3,603030000
16,1,1,603030000
16,2,1,603030000
16,1,4,603030000
16,1,1,603030000
16,1,1,603030000
16,2,3,603030000
16,2,5,603030000
16,1,4,603030000
16,1,3,603030000
16,2,4,603030000
16,2,1,603030000
16,2,3,603030000
16,1,3,603030000
16,1,1,603030000
16,2,3,603030000
16,1,1,603030000
16,1,2,603030000
16,1,4,603030000
16,1,4,603030000
16,2,1,603030000
16,1,1,603030000
17,2,1,603030000
17,1,1,603030000
17,2,2,603030000
17,1,1,603030000
17,2,3,603030000
17,2,3,603030000
17,1,1,603030000
17,1,3,603030000
17,1,1,603030000
17,2,1,603030000
17,2,3,603030000
17,2,3,603030000
17,2,2,603030000
17,2,1,603030000
17,2,2,603030000
17,2,1,603030000
17,1,1,603030000
18,2,4,603030000
18,2,4,603030000
18,2,4,603030000
18,1,1,603030000
18,1,2,603030000
18,2,3,603030000
18,1,1,603030000
18,1,4,603030000
18,2,1,603030000
18,2,4,603030000
18,1,4,603030000
18,2,4,603030000
18,2,4,603030000
18,1,1,603030000
18,2,2,603030000
18,1,1,603030000
19,2,1,603030000
19,2,3,603030000
19,1,1,603030000
19,2,3,603030000
19,1,1,603030000
19,2,1,603030000
19,1,4,603030000
19,2,1,603030000
19,1,1,603030000
19,2,4,603030000
19,1,3,603030000
19,1,4,603030000
19,1,4,603030000
19,1,1,603030000
19,1,5,603030000
19,2,1,603030000
19,2,1,603030000
19,2,1,603030000
19,2,5,603030000
19,2,3,603030000
19,1,3,603030000
19,1,5,603030000
19,1,2,603030000
20,1,2,603030000
20,2,3,603030000
20,2,3,603030000
20,2,4,603030000
20,1,1,603030000
20,2,2,603030000
20,1,1,603030000
20,2,4,603030000
21,1,5,603030000
21,1,1,603030000
21,2,1,603030000
21,2,3,603030000
21,2,1,603030000
21,2,4,603030000
21,2,2,603030000
21,1,2,603030000
22,2,2,603030000
22,1,1,603030000
22,1,1,603030000
22,2,1,603030000
22,2,1,603030000
22,2,1,603030000
23,1,1,603030000
23,2,1,603030000
23,1,4,603030000
23,1,1,603030000
23,1,1,603030000
23,1,2,603030000
23,2,1,603030000
23,1,1,603030000
23,2,4,603030000
23,1,1,603030000
23,2,2,603030000
23,1,1,603030000
23,2,2,603030000
23,1,1,603030000
24,1,3,603030000
24,2,1,603030000
24,1,5,603030000
24,1,2,603030000
24,1,4,603030000
24,2,2,603030000
24,1,2,603030000
24,2,4,603030000
24,1,1,603030000
24,2,3,603030000
24,1,3,603030000
24,2,5,603030000
24,2,2,603030000
24,1,1,603030000
25,1,1,603030000
25,2,1,603030000
25,2,1,603030000
25,2,3,603030000
25,1,1,603030000
25,2,2,603030000
25,2,2,603030000
25,1,2,603030000
25,1,1,603030000
25,1,1,603030000
25,1,2,603030000
25,1,3,603030000
25,2,2,603030000
25,1,1,603030000
25,2,2,603030000
25,2,2,603030000
25,2,2,603030000
25,2,1,603030000
26,2,1,603030000
26,2,1,603030000
26,2,3,603030000
26,1,3,603030000
26,2,1,603030000
26,2,2,603030000
26,2,3,603030000
27,1,3,603030000
27,1,1,603030000
27,2,3,603030000
27,1,2,603030000
27,1,2,603030000
27,2,2,603030000
27,1,3,603030000
27,1,4,603030000
27,2,4,603030000
27,2,3,603030000
27,1,1,603030000
27,1,4,603030000
27,1,1,603030000
28,1,3,603030000
28,2,3,603030000
28,2,3,603030000
28,1,3,603030000
28,1,1,603030000
28,2,3,603030000
28,2,1,603030000
28,2,1,603030000
28,1,1,603030000
28,2,1,603030000
28,1,1,603030000
28,2,1,603030000
28,1,3,603030000
28,1,1,603030000
28,1,4,603030000
28,2,3,603030000
28,2,3,603030000
28,1,1,603030000
28,1,4,603030000
29,1,1,603030000
29,2,3,603030000
29,2,3,603030000
29,2,2,603030000
29,1,2,603030000
29,1,3,603030000
29,1,1,603030000
29,2,1,603030000
29,2,4,603030000
29,2,2,603030000
29,2,2,603030000
29,1,3,603030000
29,2,4,603030000
29,2,1,603030000
29,1,1,603030000
29,1,1,603030000
30,1,1,603030000
30,2,3,603030000
30,1,2,603030000
30,2,1,603030000
30,1,1,603030000
30,2,4,603030000
30,1,3,603030000
30,1,5,603030000
30,2,2,603030000
30,2,1,603030000
30,2,1,603030000
30,1,1,603030000
30,1,1,603030000
30,1,4,603030000
30,2,1,603030000
30,2,2,603030000
30,2,4,603030000
30,2,1,603030000
30,2,1,603030000
30,2,1,603030000
30,1,1,603030000
30,1,5,603030000
31,2,1,603030000
31,1,4,603030000
31,2,1,603030000
31,1,1,603030000
31,2,1,603030000
31,1,2,603030000
32,2,2,603030000
32,1,2,603030000
32,1,3,603030000
32,2,4,603030000
32,2,4,603030000
32,1,1,603030000
32,1,2,603030000
32,1,4,603030000
32,1,1,603030000
32,1,2,603030000
32,1,2,603030000
32,2,2,603030000
33,2,2,603030000
33,2,3,603030000
33,2,1,603030000
33,2,3,603030000
33,2,3,603030000
33,1,1,603030000
33,2,1,603030000
33,2,1,603030000
33,2,3,603030000
34,2,2,603030000
34,2,1,603030000
34,2,3,603030000
34,1,5,603030000
34,1,1,603030000
34,2,3,603030000
34,2,2,603030000
34,2,2,603030000
34,2,1,603030000
34,2,2,603030000
34,1,1,603030000
34,1,2,603030000
35,1,3,603030000
35,2,3,603030000
35,2,1,603030000
35,1,1,603030000
35,2,4,603030000
35,2,1,603030000
35,2,2,603030000
35,1,3,603030000
35,2,4,603030000
35,1,1,603030000
35,1,4,603030000
36,1,1,603030000
36,2,1,603030000
36,1,1,603030000
36,2,5,603030000
36,1,4,603030000
37,2,5,603030000
37,2,1,603030000
37,1,3,603030000
37,1,3,603030000
37,2,1,603030000
37,1,1,603030000
37,1,1,603030000
37,2,1,603030000
37,1,2,603030000
37,2,4,603030000
37,2,1,603030000
37,2,5,603030000
38,2,3,603030000
38,1,5,603030000
38,2,4,603030000
38,1,3,603030000
38,2,3,603030000
38,2,1,603030000
38,2,4,603030000
39,1,1,603030000
39,1,1,603030000
39,1,3,603030000
39,1,1,603030000
39,1,3,603030000
39,2,3,603030000
39,1,3,603030000
39,2,1,603030000
39,1,3,603030000
40,2,1,603030000
40,1,1,603030000
40,2,1,603030000
40,1,1,603030000
40,2,3,603030000
40,1,1,603030000
40,2,3,603030000
40,1,3,603030000
41,1,2,603030000
41,1,3,603030000
41,2,3,603030000
41,2,4,603030000
41,2,1,603030000
41,2,2,603030000
41,1,3,603030000
41,2,3,603030000
41,1,2,603030000
41,1,3,603030000
41,2,3,603030000
42,1,1,603030000
42,1,1,603030000
42,2,5,603030000
42,1,4,603030000
42,1,1,603030000
42,2,1,603030000
42,1,1,603030000
42,2,2,603030000
42,2,1,603030000
42,2,4,603030000
42,1,2,603030000
42,2,1,603030000
42,1,4,603030000
42,2,5,603030000
42,1,3,603030000
42,1,1,603030000
42,2,4,603030000
42,1,1,603030000
43,1,2,603030000
43,1,4,603030000
43,1,4,603030000
43,1,1,603030000
43,1,1,603030000
43,2,3,603030000
43,2,3,603030000
43,2,2,603030000
43,2,1,603030000
43,2,1,603030000
44,2,1,603030000
44,1,1,603030000
44,2,1,603030000
44,2,1,603030000
44,1,4,603030000
44,1,3,603030000
44,2,3,603030000
44,2,4,603030000
44,1,1,603030000
45,1,1,603030000
45,2,3,603030000
45,1,4,603030000
45,1,1,603030000
45,2,3,603030000
45,1,2,603030000
45,2,2,603030000
45,1,1,603030000
45,2,1,603030000
46,1,2,603030000
46,2,1,603030000
46,1,3,603030000
46,2,2,603030000
46,1,3,603030000
46,2,1,603030000
46,2,3,603030000
46,2,2,603030000
47,1,2,603030000
47,2,4,603030000
47,2,3,603030000
47,1,3,603030000
48,1,2,603030000
49,2,4,603030000
49,1,2,603030000
49,1,5,603030000
49,2,4,603030000
49,2,3,603030000
49,2,4,603030000
49,2,3,603030000
49,1,3,603030000
49,1,2,603030000
50,1,3,603030000
50,1,4,603030000
50,1,1,603030000
50,2,2,603030000
50,1,3,603030000
50,1,3,603030000
51,1,2,603030000
51,2,3,603030000
51,2,2,603030000
51,2,2,603030000
51,2,3,603030000
51,1,2,603030000
51,1,1,603030000
51,1,3,603030000
51,2,4,603030000
51,1,2,603030000
52,2,1,603030000
52,1,1,603030000
52,1,1,603030000
52,2,1,603030000
52,1,1,603030000
52,2,3,603030000
53,2,2,603030000
53,2,2,603030000
53,2,3,603030000
53,2,1,603030000
53,2,3,603030000
53,1,1,603030000
53,1,1,603030000
53,1,2,603030000
53,1,3,603030000
53,2,3,603030000
53,1,2,603030000
53,1,1,603030000
53,2,4,603030000
53,2,3,603030000
54,2,3,603030000
54,1,3,603030000
54,1,3,603030000
54,1,2,603030000
54,1,1,603030000
54,1,1,603030000
54,2,2,603030000
54,1,1,603030000
55,1,1,603030000
55,1,1,603030000
55,1,1,603030000
55,1,3,603030000
55,2,1,603030000
55,1,4,603030000
55,1,3,603030000
55,1,1,603030000
56,1,2,603030000
56,1,2,603030000
56,1,1,603030000
56,2,3,603030000
56,1,2,603030000
56,2,5,603030000
56,2,2,603030000
57,1,3,603030000
57,2,3,603030000
57,2,4,603030000
57,1,2,603030000
57,1,1,603030000
58,1,2,603030000
58,2,3,603030000
59,2,3,603030000
59,1,3,603030000
59,2,4,603030000
59,2,1,603030000
59,1,5,603030000
60,2,3,603030000
60,2,2,603030000
60,2,3,603030000
60,2,3,603030000
60,1,2,603030000
60,2,2,603030000
60,2,3,603030000
60,2,1,603030000
61,1,1,603030000
61,2,1,603030000
61,2,1,603030000
61,2,5,603030000
61,1,5,603030000
61,2,2,603030000
61,2,3,603030000
61,1,1,603030000
61,1,1,603030000
62,2,1,603030000
62,2,4,603030000
62,1,1,603030000
62,2,1,603030000
62,2,3,603030000
62,1,1,603030000
63,2,5,603030000
63,2,2,603030000
63,1,4,603030000
64,2,1,603030000
64,1,2,603030000
64,2,2,603030000
64,2,3,603030000
64,2,1,603030000
65,1,3,603030000
65,2,2,603030000
66,1,3,603030000
66,1,3,603030000
66,1,1,603030000
66,1,2,603030000
66,2,4,603030000
66,2,3,603030000
67,2,1,603030000
67,2,3,603030000
67,2,3,603030000
67,2,3,603030000
67,1,4,603030000
67,2,4,603030000
68,1,3,603030000
68,1,2,603030000
68,1,2,603030000
68,1,2,603030000
69,2,1,603030000
69,1,3,603030000
69,1,2,603030000
70,2,1,603030000
70,1,1,603030000
70,2,1,603030000
70,2,3,603030000
70,1,2,603030000
71,2,1,603030000
71,2,3,603030000
71,2,2,603030000
72,2,2,603030000
72,2,1,603030000
72,2,1,603030000
72,2,1,603030000
72,2,3,603030000
72,2,5,603030000
72,1,5,603030000
73,1,2,603030000
73,1,3,603030000
73,2,2,603030000
74,2,4,603030000
74,2,3,603030000
75,2,1,603030000
75,2,2,603030000
76,1,3,603030000
77,2,4,603030000
77,1,3,603030000
77,2,2,603030000
79,1,3,603030000
80,2,3,603030000
80,1,3,603030000
80,2,3,603030000
80,2,1,603030000
80,2,3,603030000
80,1,3,603030000
80,2,1,603030000
80,1,2,603030000
80,2,1,603030000
80,2,1,603030000
80,1,4,603030000
80,2,2,603030000
80,2,3,603030000
5,1,4,603032000
11,1,3,603032000
18,1,1,603032000
28,1,3,603032000
28,1,3,603032000
32,1,3,603032000
36,1,3,603032000
40,2,5,603032000
41,2,3,603032000
64,2,2,603032000
64,2,3,603032000
71,2,3,603032000
80,1,3,603032000
1,2,4,603034000
2,1,3,603034000
2,2,4,603034000
4,2,3,603034000
9,1,4,603034000
10,1,3,603034000
11,1,4,603034000
12,1,4,603034000
18,1,4,603034000
28,1,4,603034000
32,2,3,603034000
34,1,4,603034000
37,1,1,603034000
39,1,1,603034000
39,1,1,603034000
41,2,3,603034000
43,1,3,603034000
45,1,4,603034000
45,1,4,603034000
46,2,4,603034000
48,1,4,603034000
50,1,4,603034000
50,1,1,603034000
50,1,4,603034000
51,1,4,603034000
51,2,1,603034000
52,2,4,603034000
53,1,3,603034000
54,2,3,603034000
54,1,4,603034000
54,2,3,603034000
55,1,3,603034000
55,2,4,603034000
57,1,1,603034000
61,1,5,603034000
62,1,4,603034000
63,2,4,603034000
64,1,4,603034000
66,2,4,603034000
70,2,3,603034000
71,2,4,603034000
72,1,4,603034000
72,1,3,603034000
73,2,4,603034000
73,1,4,603034000
75,1,4,603034000
76,1,1,603034000
80,1,3,603034000
80,1,3,603034000
80,2,4,603034000
80,1,3,603034000
80,1,3,603034000
80,2,3,603034000
80,2,4,603034000
0,1,2,603035000
0,2,3,603035000
0,2,4,603035000
0,2,1,603035000
0,2,3,603035000
0,1,2,603035000
0,2,2,603035000
0,1,2,603035000
0,1,3,603035000
0,2,4,603035000
0,2,1,603035000
0,1,1,603035000
0,2,1,603035000
0,2,3,603035000
0,2,3,603035000
0,1,1,603035000
0,2,1,603035000
0,2,1,603035000
0,1,1,603035000
0,2,2,603035000
0,1,4,603035000
0,2,2,603035000
0,1,3,603035000
0,2,4,603035000
0,2,1,603035000
0,2,1,603035000
0,1,1,603035000
0,2,1,603035000
0,2,1,603035000
0,2,1,603035000
0,1,2,603035000
0,1,1,603035000
0,1,1,603035000
0,1,1,603035000
0,1,3,603035000
0,1,1,603035000
0,1,1,603035000
0,2,4,603035000
0,2,5,603035000
1,1,4,603035000
1,1,3,603035000
1,1,1,603035000
1,1,3,603035000
1,2,4,603035000
1,1,2,603035000
1,1,4,603035000
1,1,1,603035000
1,2,3,603035000
1,1,1,603035000
1,2,1,603035000
1,1,3,603035000
1,1,4,603035000
1,1,2,603035000
1,1,4,603035000
1,1,2,603035000
1,1,3,603035000
1,2,1,603035000
1,1,3,603035000
1,1,4,603035000
1,2,2,603035000
1,1,1,603035000
1,2,3,603035000
1,2,3,603035000
1,2,5,603035000
1,2,1,603035000
1,2,1,603035000
1,2,4,603035000
1,1,3,603035000
1,1,4,603035000
1,2,3,603035000
1,2,2,603035000
1,1,4,603035000
1,1,4,603035000
1,2,2,603035000
1,1,4,603035000
1,2,4,603035000
1,2,1,603035000
1,2,3,603035000
1,2,1,603035000
1,1,1,603035000
1,1,3,603035000
1,1,2,603035000
1,1,4,603035000
1,1,3,603035000
1,2,1,603035000
1,2,1,603035000
1,2,3,603035000
1,2,3,603035000
1,2,5,603035000
1,1,1,603035000
1,1,4,603035000
1,1,2,603035000
1,1,1,603035000
1,1,3,603035000
1,2,3,603035000
1,2,3,603035000
1,2,3,603035000
1,2,3,603035000
1,1,1,603035000
1,1,1,603035000
1,2,1,603035000
1,1,1,603035000
1,1,1,603035000
1,1,1,603035000
1,2,1,603035000
1,1,2,603035000
1,1,3,603035000
1,1,3,603035000
1,2,5,603035000
1,2,3,603035000
2,1,3,603035000
2,1,3,603035000
2,2,3,603035000
2,1,4,603035000
2,2,4,603035000
2,1,3,603035000
2,2,1,603035000
2,2,1,603035000
2,2,3,603035000
2,1,3,603035000
2,1,1,603035000
2,2,3,603035000
2,1,1,603035000
2,1,1,603035000
2,2,3,603035000
2,2,1,603035000
2,2,3,603035000
2,2,1,603035000
2,1,2,603035000
2,1,3,603035000
2,2,2,603035000
2,1,4,603035000
2,2,1,603035000
2,2,1,603035000
2,2,4,603035000
2,2,3,603035000
2,1,2,603035000
2,2,1,603035000
2,2,3,603035000
2,2,3,603035000
2,2,3,603035000
2,2,1,603035000
2,1,3,603035000
2,2,2,603035000
2,2,5,603035000
2,2,1,603035000
2,1,1,603035000
2,2,5,603035000
2,1,4,603035000
2,2,1,603035000
2,1,2,603035000
2,1,3,603035000
2,1,3,603035000
2,1,5,603035000
2,1,1,603035000
2,2,4,603035000
2,1,4,603035000
2,1,4,603035000
2,2,1,603035000
2,1,1,603035000
2,1,1,603035000
2,1,2,603035000
2,1,2,603035000
2,2,2,603035000
2,1,1,603035000
2,2,2,603035000
2,1,1,603035000
2,1,3,603035000
2,2,1,603035000
2,2,5,603035000
2,1,4,603035000
2,1,1,603035000
2,1,3,603035000
2,2,3,603035000
2,1,3,603035000
2,1,2,603035000
2,1,3,603035000
2,1,2,603035000
3,1,4,603035000
3,1,1,603035000
3,1,1,603035000
3,1,1,603035000
3,1,1,603035000
3,2,1,603035000
3,2,4,603035000
3,1,4,603035000
3,1,4,603035000
3,1,1,603035000
3,2,4,603035000
3,1,3,603035000
3,2,4,603035000
3,2,3,603035000
3,2,4,603035000
3,1,2,603035000
3,1,4,603035000
3,1,4,603035000
3,1,4,603035000
3,1,4,603035000
3,1,2,603035000
3,2,4,603035000
3,1,4,603035000
3,1,1,603035000
3,2,2,603035000
3,1,1,603035000
3,2,4,603035000
3,1,1,603035000
3,2,2,603035000
3,2,5,603035000
3,1,4,603035000
3,1,4,603035000
3,1,1,603035000
3,2,3,603035000
3,2,2,603035000
3,2,2,603035000
3,2,3,603035000
3,2,1,603035000
3,2,1,603035000
4,1,3,603035000
4,1,4,603035000
4,1,4,603035000
4,1,1,603035000
4,1,1,603035000
4,1,1,603035000
4,1,3,603035000
4,1,3,603035000
4,2,1,603035000
4,2,3,603035000
4,1,1,603035000
4,1,5,603035000
4,2,1,603035000
4,2,4,603035000
4,2,1,603035000
4,1,4,603035000
4,2,1,603035000
4,2,1,603035000
4,1,3,603035000
4,2,4,603035000
4,1,3,603035000
4,1,1,603035000
4,1,2,603035000
4,1,4,603035000
4,1,4,603035000
4,1,5,603035000
4,1,5,603035000
4,2,1,603035000
4,1,3,603035000
4,1,2,603035000
4,2,1,603035000
4,2,1,603035000
4,2,3,603035000
4,2,3,603035000
4,2,1,603035000
4,1,1,603035000
4,1,4,603035000
4,1,4,603035000
4,2,4,603035000
5,1,1,603035000
5,1,3,603035000
5,1,4,603035000
5,2,1,603035000
5,2,3,603035000
5,1,3,603035000
5,1,4,603035000
5,1,3,603035000
5,1,4,603035000
5,2,1,603035000
5,2,3,603035000
5,2,1,603035000
5,2,4,603035000
5,1,2,603035000
5,2,4,603035000
5,2,4,603035000
5,1,3,603035000
5,2,1,603035000
5,2,4,603035000
5,1,2,603035000
5,2,1,603035000
5,2,4,603035000
5,2,4,603035000
5,2,1,603035000
5,2,4,603035000
5,1,4,603035000
5,1,2,603035000
5,2,4,603035000
5,1,3,603035000
5,1,4,603035000
5,2,3,603035000
5,1,3,603035000
5,1,4,603035000
5,1,4,603035000
5,1,1,603035000
5,2,4,603035000
5,2,5,603035000
5,1,1,603035000
5,2,4,603035000
6,2,2,603035000
6,2,4,603035000
6,2,1,603035000
6,1,3,603035000
6,2,4,603035000
6,1,2,603035000
6,1,1,603035000
6,2,4,603035000
6,1,1,603035000
6,2,5,603035000
6,2,1,603035000
6,2,1,603035000
6,1,1,603035000
6,2,4,603035000
6,1,4,603035000
6,1,4,603035000
6,2,4,603035000
6,1,2,603035000
6,1,4,603035000
6,1,4,603035000
6,1,1,603035000
6,2,2,603035000
6,2,2,603035000
6,1,4,603035000
6,2,1,603035000
6,2,4,603035000
6,2,2,603035000
6,2,4,603035000
6,1,1,603035000
6,1,1,603035000
6,2,4,603035000
6,1,3,603035000
6,1,1,603035000
6,2,4,603035000
6,2,2,603035000
6,2,4,603035000
7,1,1,603035000
7,1,1,603035000
7,2,1,603035000
7,1,4,603035000
7,1,4,603035000
7,1,1,603035000
7,1,4,603035000
7,2,1,603035000
7,2,3,603035000
7,2,4,603035000
7,1,4,603035000
7,1,1,603035000
7,2,1,603035000
7,1,4,603035000
7,2,3,603035000
7,2,2,603035000
7,1,4,603035000
7,2,4,603035000
7,1,3,603035000
7,2,3,603035000
7,1,1,603035000
7,2,1,603035000
7,2,3,603035000
7,1,4,603035000
7,1,4,603035000
7,2,3,603035000
7,1,1,603035000
7,1,1,603035000
8,2,4,603035000
8,1,4,603035000
8,1,4,603035000
8,2,2,603035000
8,2,3,603035000
8,1,4,603035000
8,2,4,603035000
8,1,3,603035000
8,2,4,603035000
8,1,3,603035000
8,2,1,603035000
8,1,4,603035000
8,2,4,603035000
8,1,4,603035000
8,1,4,603035000
8,1,2,603035000
8,2,3,603035000
8,1,1,603035000
8,1,1,603035000
8,2,3,603035000
8,1,1,603035000
8,1,4,603035000
8,1,1,603035000
8,1,2,603035000
8,1,4,603035000
8,2,2,603035000
8,1,4,603035000
8,1,2,603035000
8,1,4,603035000
8,1,3,603035000
8,1,3,603035000
8,1,1,603035000
9,1,5,603035000
9,2,3,603035000
9,1,1,603035000
9,1,4,603035000
9,2,4,603035000
9,1,2,603035000
9,1,1,603035000
9,2,4,603035000
9,2,1,603035000
9,1,3,603035000
9,2,2,603035000
9,2,1,603035000
9,2,1,603035000
9,2,3,603035000
9,2,1,603035000
9,2,2,603035000
9,2,2,603035000
9,1,4,603035000
9,1,2,603035000
9,2,5,603035000
9,2,3,603035000
9,2,1,603035000
9,1,4,603035000
9,2,1,603035000
9,2,1,603035000
9,2,4,603035000
9,2,1,603035000
9,2,3,603035000
9,2,1,603035000
9,1,1,603035000
9,2,4,603035000
9,2,2,603035000
9,1,3,603035000
10,2,4,603035000
10,2,4,603035000
10,1,2,603035000
10,1,5,603035000
10,1,4,603035000
10,1,4,603035000
10,1,4,603035000
10,1,2,603035000
10,2,1,603035000
10,2,4,603035000
10,2,4,603035000
10,1,5,603035000
10,2,2,603035000
10,2,3,603035000
10,2,3,603035000
10,1,1,603035000
10,2,1,603035000
10,1,3,603035000
10,1,1,603035000
10,1,3,603035000
10,1,5,603035000
10,2,3,603035000
10,1,2,603035000
10,1,3,603035000
10,2,4,603035000
10,2,3,603035000
10,2,1,603035000
10,2,3,603035000
10,1,1,603035000
10,2,2,603035000
10,2,5,603035000
10,1,1,603035000
10,1,3,603035000
10,2,3,603035000
10,2,3,603035000
10,2,2,603035000
10,1,2,603035000
11,2,1,603035000
11,1,1,603035000
11,2,4,603035000
11,2,5,603035000
11,2,4,603035000
11,2,3,603035000
11,1,2,603035000
11,1,4,603035000
11,1,4,603035000
11,1,1,603035000
11,1,1,603035000
11,1,4,603035000
11,2,4,603035000
11,1,4,603035000
11,1,5,603035000
11,2,2,603035000
11,1,3,603035000
11,1,1,603035000
11,1,5,603035000
11,1,4,603035000
11,1,4,603035000
11,2,1,603035000
11,1,4,603035000
11,1,1,603035000
11,1,1,603035000
11,1,4,603035000
11,2,3,603035000
11,1,3,603035000
11,2,4,603035000
11,1,1,603035000
11,2,4,603035000
12,2,4,603035000
12,1,4,603035000
12,2,2,603035000
12,1,1,603035000
12,2,4,603035000
12,1,1,603035000
12,2,1,603035000
12,2,1,603035000
12,2,3,603035000
12,1,3,603035000
12,1,4,603035000
12,1,1,603035000
12,2,1,603035000
12,2,3,603035000
12,1,3,603035000
12,1,4,603035000
12,1,4,603035000
12,2,4,603035000
12,1,1,603035000
12,2,1,603035000
12,1,4,603035000
12,1,2,603035000
12,1,3,603035000
12,2,4,603035000
12,1,4,603035000
12,1,2,603035000
12,1,1,603035000
12,1,4,603035000
12,1,4,603035000
12,2,4,603035000
12,1,1,603035000
12,2,2,603035000
13,2,2,603035000
13,1,3,603035000
13,2,4,603035000
13,2,4,603035000
13,2,3,603035000
13,1,3,603035000
13,1,3,603035000
13,1,4,603035000
13,2,4,603035000
13,2,4,603035000
13,2,1,603035000
13,1,4,603035000
13,1,4,603035000
13,1,3,603035000
13,1,3,603035000
13,2,4,603035000
13,2,4,603035000
13,2,1,603035000
13,2,3,603035000
13,1,5,603035000
13,1,3,603035000
13,1,2,603035000
13,2,1,603035000
13,1,1,603035000
13,2,4,603035000
13,2,1,603035000
13,1,1,603035000
13,2,4,603035000
14,2,4,603035000
14,1,2,603035000
14,1,3,603035000
14,2,2,603035000
14,2,3,603035000
14,1,2,603035000
